13/6/23|12:28:35|22|25|0:14|1|3@ 
13/6/23|12:28:40|22|25|0:14|1|3@ 
13/6/23|12:28:45|22|25|0:14|1|3@ 
13/6/23|12:28:50|22|25|0:14|1|3@ 
13/6/23|12:28:55|22|24|0:14|1|3@ 
13/6/23|12:29:0|22|25|0:15|1|3@ 
13/6/23|12:29:5|22|25|0:15|1|3@ 
13/6/23|12:29:10|22|24|0:15|1|3@ 
13/6/23|12:29:15|22|24|0:15|1|3@ 
13/6/23|12:29:20|22|24|0:15|1|3@ 
13/6/23|12:29:25|22|24|0:15|1|3@ 
13/6/23|12:29:30|22|24|0:15|1|3@ 
13/6/23|12:29:35|22|24|0:15|1|3@ 
13/6/23|12:29:40|22|24|0:15|1|3@ 
13/6/23|12:29:45|22|24|0:15|1|3@ 
13/6/23|12:29:50|22|23|0:15|1|3@ 
13/6/23|12:29:55|22|24|0:15|1|3@ 
13/6/23|12:30:0|22|24|0:16|1|3@ 
13/6/23|12:30:5|22|24|0:16|1|3@ 
13/6/23|12:30:10|22|24|0:16|1|3@ 
13/6/23|12:30:15|22|23|0:16|1|3@ 
13/6/23|12:30:20|22|23|0:16|1|3@ 
13/6/23|12:30:25|22|24|0:16|1|3@ 
13/6/23|12:30:30|22|23|0:16|1|3@ 
13/6/23|12:30:35|22|23|0:16|1|3@ 
13/6/23|12:30:40|22|23|0:16|1|3@ 
13/6/23|12:30:45|22|23|0:16|1|3@ 
13/6/23|12:30:50|22|23|0:16|1|3@ 
13/6/23|12:30:55|22|23|0:16|1|3@ 
13/6/23|12:31:0|22|23|0:17|1|3@ 
13/6/23|12:31:5|22|23|0:17|1|3@ 
13/6/23|12:31:10|22|23|0:17|1|3@ 
13/6/23|12:31:15|22|23|0:17|1|3@ 
13/6/23|12:31:20|22|22|0:17|1|3@ 
13/6/23|12:31:25|22|23|0:17|1|3@ 
13/6/23|12:31:30|22|23|0:17|1|3@ 
13/6/23|12:31:35|22|23|0:17|1|3@ 
13/6/23|12:31:40|22|22|0:17|1|3@ 
13/6/23|12:31:45|22|23|0:17|1|3@ 
13/6/23|12:31:50|22|22|0:17|1|3@ 
13/6/23|12:31:55|22|23|0:17|1|3@ 
